"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12814","User should be able to check delete the member functionality","firefox","Sat Feb 08 09:51:35 IST 2025","passed","Sat Feb 08 09:51:48 IST 2025","","DeleteUser.spec.js","",""
"","8649","Login with valid credentials","firefox","Sat Feb 08 09:51:48 IST 2025","passed","Sat Feb 08 09:51:57 IST 2025","To check the Login functionality for valid and non valid credential","login.spec.js","",""
"","11200","Signup with already exists details","firefox","Sat Feb 08 09:52:32 IST 2025","passed","Sat Feb 08 09:52:44 IST 2025","Check the signup functionality","signup.spec.js","",""
"","6005","Email should be subscribed","firefox","Sat Feb 08 09:52:43 IST 2025","passed","Sat Feb 08 09:52:49 IST 2025","","subscribe.spec.js","",""
"","18777","User should be able to navigate the home page","firefox","Sat Feb 08 09:51:13 IST 2025","passed","Sat Feb 08 09:51:32 IST 2025","Validate empty cart message and link","cart.spec.js","",""
"","30252","To check the number of test case","firefox","Sat Feb 08 09:52:44 IST 2025","broken","Sat Feb 08 09:53:14 IST 2025","","testcase.spec.js","",""
"","6992","Login with invalid credentials","firefox","Sat Feb 08 09:51:57 IST 2025","passed","Sat Feb 08 09:52:04 IST 2025","To check the Login functionality for valid and non valid credential","login.spec.js","",""
"","8438","To validate cart is empty","firefox","Sat Feb 08 09:51:13 IST 2025","passed","Sat Feb 08 09:51:22 IST 2025","Validate empty cart message and link","cart.spec.js","",""
"","10624","To check the search product and delete product functionality","firefox","Sat Feb 08 09:52:20 IST 2025","passed","Sat Feb 08 09:52:31 IST 2025","","search.spec.js","",""
"","10262","User should be able to delete the product from cart","firefox","Sat Feb 08 09:51:24 IST 2025","passed","Sat Feb 08 09:51:34 IST 2025","Validate empty cart message and link","cart.spec.js","",""
"","30274","Naviagte to the homepage","firefox","Sat Feb 08 09:51:45 IST 2025","broken","Sat Feb 08 09:52:16 IST 2025","","homepage.spec.js","",""
"","15992","Signup with valid details","firefox","Sat Feb 08 09:52:25 IST 2025","passed","Sat Feb 08 09:52:41 IST 2025","Check the signup functionality","signup.spec.js","",""
"","11295","User should be able to contact us successfully","firefox","Sat Feb 08 09:51:34 IST 2025","passed","Sat Feb 08 09:51:45 IST 2025","Check the contactus functionality","contactus.spec.js","",""
"","15584","Purchasing the product of any category","firefox","Sat Feb 08 09:52:04 IST 2025","failed","Sat Feb 08 09:52:19 IST 2025","","product.spec.js","",""
